id,slug,url,name,description,category,platform,platform_role,tags,authors,repository,repository_host,registry,registry_name,doi,publication,website,blogpost,youtube,twitter,internetarchive,notes
c90141,archiedb,https://open-archaeo.info/post/archiedb/,archiedb,A light-weight database application designed to standardize and simplify data entry of archaeological or historical artifacts,Standalone software,,,Data management,archie,https://github.com/archiedb/archie,GitHub,,,,,,,,,https://archive.org/details/github.com-archiedb-archie_-_2018-09-30_23-00-43,
7be2bb,archaeology-object-data-collector-app,https://open-archaeo.info/post/archaeology-object-data-collector-app/,archaeology-object-data-collector-app,Archaeology-object-data-collector-app,Packages and libraries,Mobile app,deployment,Data management,anatolian,https://github.com/anatolian/archaeology-object-data-collector-app,GitHub,,,,,,,,,https://archive.org/details/github.com-anatolian-archaeology-object-data-collector-app_-_2018-06-27_09-58-13,
082396,ais,https://open-archaeo.info/post/ais/,AIS,Archaeological information system,Standalone software,,,Data management,andredebuisne,https://github.com/andredebuisne/AIS,GitHub,,,,,,,,,https://archive.org/details/github.com-andredebuisne-AIS_-_2017-12-24_11-44-22,
3b55cd,ark1,https://open-archaeo.info/post/ark1/,ARK1,"The ark v1.1.2 stable release. Ark (the archaeological recording kit) is a web-based 'toolkit' for the collection, storage and dissemination of archaeological data. It includes data-editing, data-creation, data-viewing and data-sharing tools, all of which are delivered using a web-based front-end.",Standalone software,,,Data management,L-P Archaeology,https://github.com/lparchaeology/ARK1,GitHub,,,,,,,,,https://archive.org/details/github.com-lparchaeology-ARK1_-_2017-11-27_14-43-51,
f8f2e8,ark2,https://open-archaeo.info/post/ark2/,Ark2,"Ark (the archaeological recording kit) 2.0 development repository. Ark (the archaeological recording kit) is a web-based 'toolkit' for the collection, storage and dissemination of archaeological data. It includes data-editing, data-creation, data-viewing and data-sharing tools, all of which are delivered using a web-based front-end.",Standalone software,,,Data management,L-P Archaeology,https://github.com/lparchaeology/ARK2,GitHub,,,,,,,,,,
5ef689,ark-addons,https://open-archaeo.info/post/ark-addons/,ark-addons,"This is a django project to obtain statistical information from an ark project. It is aimed to mine data from archaeological databases and create customizable visualizations, querying both text and geographical data.",Standalone software,,,Data management,fradeve,https://github.com/fradeve/ark-addons,GitHub,,,,,,,,,https://archive.org/details/github.com-fradeve-ark-addons_-_2014-10-30_23-48-58,
e5b5dd,profileaar,https://open-archaeo.info/post/profileaar/,profileAAR,Python qgis plugin of recexcavaar's archprofile,Packages and libraries,QGIS,host application,Data management,ISAAKiel,https://github.com/ISAAKiel/profileAAR,GitHub,,,,,,,,,https://archive.org/details/github.com-ISAAKiel-profileAAR_-_2019-07-04_11-47-50,
fcc967,archjobcad,https://open-archaeo.info/post/archjobcad/,ArchJobCAD,Tasks for excavations in autocad,Packages and libraries,AutoCAD,host application,Data management,ISAAKiel,https://github.com/ISAAKiel/ArchJobCAD,GitHub,,,,,,,,,https://archive.org/details/github.com-ISAAKiel-ArchJobCAD_-_2021-03-10_12-29-45,
87f3d9,nervia,https://open-archaeo.info/post/nervia/,nervia,Management system for physical storage of archaeological finds,Standalone software,,,Data management,steko,https://github.com/steko/nervia|https://codeberg.org/steko/nervia,GitHub|Codeberg,,,,,,,,,https://archive.org/details/codeberg.org-steko-nervia_-_2020-06-22_07-37-06,
f10327,pyarchinit,https://open-archaeo.info/post/pyarchinit/,pyArchInit,A python plugin for qgis aimed at managing data from archaeological contexts on the gis platform,Packages and libraries,QGIS,host application,Data management,pyarchinit,,,,,,,https://sites.google.com/site/pyarchinit/,,,,,
e5a69b,tidypaleo,https://open-archaeo.info/post/tidypaleo/,tidypaleo,This package simplifies a few workflows when working with multi-proxy paleo-archive data,Packages and libraries,R,language,Data management|Palaeoclimate modelling,paleolimbot,https://github.com/paleolimbot/tidypaleo,GitHub,,,,,,,,,https://archive.org/details/github.com-paleolimbot-tidypaleo_-_2020-12-30_14-14-17,
7ae71f,historical-geocoding-assistant,https://open-archaeo.info/post/historical-geocoding-assistant/,historical-geocoding-assistant,Tool for assisted geocoding of historical datasets (something between a manual table editing and automated geocoding script),Standalone software,,,Data management,adammertel,https://github.com/adammertel/historical-geocoding-assistant,GitHub,,,,,,,,,https://archive.org/details/github.com-adammertel-historical-geocoding-assistant_-_2021-02-04_13-33-32,
b83eed,odkarchforms,https://open-archaeo.info/post/odkarchforms/,ODKArchForms,"Open data kit forms and conversion scripts used in archaeology. Including new mexico la forms, photologs, etc",Packages and libraries,Open Data Kit,host application,Data management,UNMOCA,https://github.com/UNMOCA/ODKArchForms,GitHub,,,,,,,,,https://archive.org/details/github.com-UNMOCA-ODKArchForms_-_2016-02-17_22-32-59,
437007,e5,https://open-archaeo.info/post/e5/,E5,E5 is a generalized data entry program intended for archaeologists that works with a configuration file where the data entry fields are defined,Standalone software,,,Data management,surf3s,https://github.com/surf3s/E5,GitHub,,,,,,,,,https://archive.org/details/github.com-surf3s-E5_-_2019-11-15_12-18-58,
e1488e,dedalo,https://open-archaeo.info/post/dedalo/,dedalo,"Dedalo is a knowledge management system for cultural heritage (tangible and intangible), natural heritage and oral history/memory.",Standalone software,,,Data management,renderpci,https://github.com/renderpci/dedalo,GitHub,,,,,,,,,https://archive.org/details/github.com-renderpci-dedalo_-_2021-01-16_08-50-03,
25d7a1,ishtar,https://open-archaeo.info/post/ishtar/,ishtar,"Ishtar is a database project for managing archaeological data and documentation from archaeological operations, that prioritizes maximum traceability of the information. Designed to enable inter-database communication, the ishtar project aims rather to a distributed information model than a centralized one: communication between the databases is favored.",Standalone software,,,Data management,iggdrasil,https://gitlab.com/iggdrasil/ishtar,GitLab,,,,,https://ishtar-archeo.net/en/,,,,https://archive.org/details/gitlab.com-iggdrasil-ishtar_-_2021-02-12_16-06-23,
227de1,stratibase,https://open-archaeo.info/post/stratibase/,Stratibase,"Stratibase is a minimal field recording database application (currently in filemaker fp7 format software), aimed at the simplest structure possible to perform the basic functions of a stratigraphic recording.",Standalone software,,,Data management,Bruno Desachy,,,,,,,https://abp.hypotheses.org/le-programme-bassin-parisien/les-projets/les-projets-associes-au-programme/fsn,,,,,
f9d4db,fiche-stratigraphique-numérique-fsn,https://open-archaeo.info/post/fiche-stratigraphique-num%C3%A9rique-fsn/,Fiche Stratigraphique Numérique (FSN),Fiche stratigraphique numerique (fsn) is an application project for field recording and management of archaeological operations data.,Standalone software,,,Data management,Bruno Desachy,,,,,,,https://abp.hypotheses.org/le-programme-bassin-parisien/les-projets/les-projets-associes-au-programme/fsn,,,,,
54a4e8,quari,https://open-archaeo.info/post/quari/,QuARI,"A database interface designed to facilitate the irregular, iterative, and non-linear workflows that are commonly employed in lithic analysis.",Scripts,R,language,Data collection|Lithic analysis,zackbatist|dcontre|Ciara Zogheib,https://github.com/zackbatist/QuARI,GitHub,,,10.1017/aap.2021.11,,,,,,https://archive.org/details/github.com-zackbatist-QuARI_-_2021-01-29_14-34-38,
5a0925,paleocorer,https://open-archaeo.info/post/paleocorer/,paleocoreR,R package for interacting with the paleocore api,Packages and libraries,R,language,API interfaces and web scrapers,paleocore,https://github.com/paleocore/paleocoreR,GitHub,,,,,http://paleocore.github.io/paleocoreR/,,,,https://archive.org/details/github.com-paleocore-paleocoreR_-_2014-07-18_20-59-37,
3aa615,cawd,https://open-archaeo.info/post/cawd/,cawd,An r package that collects together data for the ancient world,Packages and libraries,R,language,API interfaces and web scrapers,sfsheath,https://github.com/sfsheath/cawd,GitHub,,,,,,,,,https://archive.org/details/github.com-sfsheath-cawd_-_2017-12-21_20-32-33,
fa0f53,shkrdata,https://open-archaeo.info/post/shkrdata/,shkrdata,Package for downloading and preparing shkr data for archaeological analysis,Packages and libraries,R,language,API interfaces and web scrapers,ISAAKiel,https://github.com/ISAAKiel/shkrdata,GitHub,,,,,,,,,https://archive.org/details/github.com-ISAAKiel-shkrdata_-_2020-07-20_09-44-14,
56fd39,archdata,https://open-archaeo.info/post/archdata/,archdata,The archdata package provides several types of data that are typically used in archaeological research,Packages and libraries,R,language,Datasets,David L. Carlson|Georg Roth,,,https://CRAN.R-project.org/package=archdata,CRAN,,,,,,,,
c78bd5,benmarwickopencontext,https://open-archaeo.info/post/benmarwickopencontext/,benmarwickopencontext.r,Experimenting with the opencontext.org api using r,Scripts,R,language,API interfaces and web scrapers,benmarwick,https://gist.github.com/benmarwick/50aa4c39b7d955d0ec40,GitHub Gist,,,,,,,,,https://archive.org/details/gist.github.com-50aa4c39b7d955d0ec40_-_2016-09-16_22-55-57,
551976,radiocarbon-scrapers,https://open-archaeo.info/post/radiocarbon-scrapers/,radiocarbon-scrapers,Scrapers for public radiocarbon databases,Scripts,JavaScript,language,API interfaces and web scrapers,steko,https://codeberg.org/steko/radiocarbon-scrapers,Codeberg,,,,,,,,,https://archive.org/details/codeberg.org-steko-radiocarbon-scrapers_-_2020-03-27_10-55-09,
a9a5a7,neotoma,https://open-archaeo.info/post/neotoma/,neotoma,Programmatic r interface to the neotoma paleoecological database,Packages and libraries,R,language,API interfaces and web scrapers|Palaeoclimate modelling,ropensci,https://github.com/ropensci/neotoma,GitHub,,,,,,,,,https://archive.org/details/github.com-ropensci-neotoma_-_2020-09-20_18-21-19,
092e36,c14bazaar,https://open-archaeo.info/post/c14bazaar/,c14bazAAR,"R package to query different openly accessible radiocarbon date databases, allowing for basic data cleaning, calibration and merging",Packages and libraries,R,language,"API interfaces and web scrapers|Radiocarbon dating, calibration and sequencing",ISAAKiel,https://github.com/ropensci/c14bazAAR,GitHub,,,,https://doi.org/10.21105/joss.01914,,,,,https://archive.org/details/github.com-ropensci-c14bazAAR_-_2021-01-28_19-41-36,
84bc83,paleofire,https://open-archaeo.info/post/paleofire/,paleofire,An r package to analyse sedimentary charcoal records from the global charcoal database to reconstruct past biomass burning,Packages and libraries,R,language,API interfaces and web scrapers|Palaeoclimate modelling,oblarquez,https://github.com/oblarquez/paleofire,GitHub,,,,,https://www.gpwg.paleofire.org/,,,,https://archive.org/details/github.com-oblarquez-paleofire_-_2020-02-14_20-29-05,
efe096,archaeology-data-service,https://open-archaeo.info/post/archaeology-data-service/,archaeology-data-service,An app to collect data on archaeological objects.,Packages and libraries,Mobile app,deployment,API interfaces and web scrapers,anatolian,https://github.com/anatolian/archaeology-data-service,GitHub,,,,,,,,,https://archive.org/details/github.com-anatolian-archaeology-data-service_-_2020-06-05_18-22-23,
34cd53,munsell-plot,https://open-archaeo.info/post/munsell-plot/,munsell-plot.R,Make a stratigraphic-style plot-schematic of sediment colour using munsell values,Scripts,R,language,Diagrams and visualizations,benmarwick,https://gist.github.com/benmarwick/f32cbc2fe7297ec9f276b52c118a249a,GitHub Gist,,,,,,,,,https://archive.org/details/gist.github.com-f32cbc2fe7297ec9f276b52c118a249a_-_2019-03-16_00-28-14,
1fc02b,ceramic-frequency-date-plot,https://open-archaeo.info/post/ceramic-frequency-date-plot/,Ceramic-Frequency-Date-Plot,This r script produces a exploratory visual for assessing site date ranges originally suggested to me by wesley bernardini redlands university,Scripts,R,language,Diagrams and visualizations|Ceramic analysis,mpeeples2008,https://github.com/mpeeples2008/Ceramic-Frequency-Date-Plot,GitHub,,,,,,,,,https://archive.org/details/github.com-mpeeples2008-Ceramic-Frequency-Date-Plot_-_2018-05-11_04-48-23,
55405a,ford-diagram,https://open-archaeo.info/post/ford-diagram/,Ford-Diagram,This r function creates a simple ford diagram for archaeological seriation with error bars determined based on sample size were count data are given,Scripts,R,language,Diagrams and visualizations|Seriation,mpeeples2008,https://github.com/mpeeples2008/Ford-Diagram,GitHub,,,,,,,,,https://archive.org/details/github.com-mpeeples2008-Ford-Diagram_-_2019-01-14_18-46-58,
090cea,osteogis,https://open-archaeo.info/post/osteogis/,osteoGIS,Plot data on skeletal templates quickly,Packages and libraries,R,language,Diagrams and visualizations,davidcorton,https://github.com/davidcorton/osteoGIS,GitHub,,,,,,,,,https://archive.org/details/github.com-davidcorton-osteoGIS_-_2016-11-30_23-04-56,
c9dcac,munsell,https://open-archaeo.info/post/munsell/,munsell,"Provides easy access to, and manipulation of, the munsell colours",Packages and libraries,R,language,Diagrams and visualizations,cwickham,https://github.com/cwickham/munsell/,GitHub,https://CRAN.R-project.org/package=munsell,CRAN,,,,,,,https://archive.org/details/github.com-cwickham-munsell_-_2019-09-24_04-56-16,
7c2f58,khroma,https://open-archaeo.info/post/khroma/,khroma,Colour schemes for scientific data visualization.,Packages and libraries,R,language,Diagrams and visualizations,nfrerebeau,https://codeberg.org/tesselle/khroma,Codeberg,https://CRAN.R-project.org/package=khroma,CRAN,10.5281/zenodo.1472077,,https://packages.tesselle.org/khroma/,,,,https://archive.org/details/github.com-tesselle-khroma_-_2021-01-26_17-55-46,
89fd11,rekrei,https://open-archaeo.info/post/rekrei/,rekrei,Platform for crowdsourcing the digital recreation of lost heritage,Standalone software,,,Platforms and publications,rekrei,https://github.com/rekrei/rekrei,GitHub,,,,,,,,,https://archive.org/details/github.com-rekrei-rekrei_-_2021-01-14_19-27-48,
2c7895,archaeological-object-sharing,https://open-archaeo.info/post/archaeological-object-sharing/,archaeological-object-sharing,"An online space for sharing data, 3d models, etc about archaeological objects to enable the comparison of these objects.",Standalone software,,,Platforms and publications,anatolian,https://github.com/anatolian/archaeological-object-sharing,GitHub,,,,,,,,,https://archive.org/details/github.com-anatolian-archaeological-object-sharing_-_2017-01-25_19-13-38,
f39248,open-context-py,https://open-archaeo.info/post/open-context-py/,open-context-py,"This project represents the current evolution of open context. It's intended to be an easier to maintain code-base, and to make the data published by open context easier to maintain.",Standalone software,,,Platforms and publications,ekansa,https://github.com/ekansa/open-context-py,GitHub,,,,,,,,,https://archive.org/details/github.com-ekansa-open-context-py_-_2021-02-01_02-54-37,
5ef7cd,paleocore,https://open-archaeo.info/post/paleocore/,paleocore,Towards a data standard for paleoanthropology.,Standalone software,,,Platforms and publications,paleocore,https://github.com/paleocore/paleocore-retired,GitHub,,,,,https://paleocore.org/,,,,https://archive.org/details/github.com-paleocore-paleocore-retired_-_2018-01-05_20-00-41,
58fa91,poseidon-framework,https://open-archaeo.info/post/poseidon-framework/,poseidon-framework,"Poseidon is a framework that seeks to provide standardized ways to store and share archaeogenetic, and perhaps more broadly, molecular archaeological datasets.",Standalone software,,,Schemas and ontologies|Archaeogenetics,poseidon-framework,https://github.com/poseidon-framework/poseidon-hs,GitHub,,,,,https://www.poseidon-adna.org,,,,https://archive.org/details/github.com-poseidon-framework-poseidon-hs_-_2021-02-09_09-16-28,
663341,totalopenstation,https://open-archaeo.info/post/totalopenstation/,totalopenstation,Total open station downloads and exports survey data from your total station.,Standalone software,,,Drivers and IO,steko,https://github.com/steko/totalopenstation,GitHub,,,,,https://tops.iosa.it/,,,,https://archive.org/details/github.com-steko-totalopenstation_-_2020-11-18_11-12-29,
053d46,totalstation-tools,https://open-archaeo.info/post/totalstation-tools/,totalstation-tools,Tools to use and manipulate total station data,Packages and libraries,Python,language,Drivers and IO,WiseLabCMU,https://github.com/WiseLabCMU/totalstation-tools,GitHub,,,,,,,,,https://archive.org/details/github.com-WiseLabCMU-totalstation-tools_-_2018-03-10_20-40-09,
0a45b9,la-icp-ms-routines-fmnh,https://open-archaeo.info/post/la-icp-ms-routines-fmnh/,LA_ICP_MS-Routines_FMNH,Routines to read and analyze la-icp-ms data from the field museum's elemental analysis facility,Scripts,R,language,Educational resources and practical guides,ajupton,https://github.com/ajupton/LA_ICP_MS-Routines_FMNH,GitHub,,,,,,,,,https://archive.org/details/github.com-ajupton-LA_ICP_MS-Routines_FMNH_-_2018-10-20_19-02-22,
9f3483,anatolia-bibliography-map,https://open-archaeo.info/post/anatolia-bibliography-map/,anatolia-bibliography-map,"The goal of this project is to spatially locate bibliographic resources regarding the archaeology of anatolia (modern turkey). This takes the bibliography of archaeology to the next level by showing not only the topics and authors, but where the archaeological research is being done.",Standalone software,,,Writing,anatolian,https://github.com/anatolian/anatolia-bibliography-map,GitHub,,,,,,,,,https://archive.org/details/github.com-anatolian-anatolia-bibliography-map_-_2017-01-11_17-57-08,
78e461,signboardr,https://open-archaeo.info/post/signboardr/,signboardr,Extract text from archaeological photos containing a sign board and tag as metadata.,Packages and libraries,R,language,Shape recognition|Photography,mrecos,https://github.com/mrecos/signboardr,GitHub,,,,,,,,,https://archive.org/details/github.com-mrecos-signboardr_-_2017-11-04_00-39-27,
ffa635,missing,https://open-archaeo.info/post/missing/,missing,You have a sequence of numbered items and want to check if any are missing.,Scripts,Python,language,Bits and bobs,steko,https://codeberg.org/steko/missing,Codeberg,,,,,,,,,https://archive.org/details/codeberg.org-steko-missing_-_2020-02-10_10-18-09,
7ec5f1,soiltexture,https://open-archaeo.info/post/soiltexture/,soiltexture,"The soil texture wizard is a set of r functions designed to produce texture triangles (also called texture plots, texture diagrams, texture ternary plots), classify and transform soil textures data",Packages and libraries,R,language,Bits and bobs,julienmoeys,https://github.com/julienmoeys/soiltexture,GitHub,https://CRAN.R-project.org/package=soiltexture,CRAN,,,,,,,https://archive.org/details/github.com-julienmoeys-soiltexture_-_2020-03-09_15-35-09,
387609,sparch,https://open-archaeo.info/post/sparch/,sparch,A set of extra utilities that extend the functionlaity provided by core packages for spatial data management and analysis in r.,Packages and libraries,R,language,Bits and bobs,ahb108,https://github.com/ahb108/sparch,GitHub,,,,,,,,,https://archive.org/details/github.com-ahb108-sparch_-_2021-02-01_09-55-02,
043735,mtreering,https://open-archaeo.info/post/mtreering/,MtreeRing,A tool for automatically measuring tree-ring width using image processing techniques.,Packages and libraries,R,language,Bits and bobs,ropensci,https://github.com/ropensci/MtreeRing,GitHub,,,,,https://ropensci.github.io/MtreeRing/,,,,https://archive.org/details/github.com-ropensci-MtreeRing_-_2020-06-09_18-41-07,
813015,qrcode-storage,https://open-archaeo.info/post/qrcode-storage/,qrcode-storage,"Scripts to create qr-code images for storage boxes. Each box has an associated web page describing its content, and the qr-code serves as a short-link from the physical object to the web page.",Scripts,Python,language,Bits and bobs,steko,https://codeberg.org/steko/qrcode-storage,Codeberg,,,,,,,,,https://archive.org/details/codeberg.org-steko-qrcode-storage_-_2020-06-22_14-11-12,
657581,gmamisc,https://open-archaeo.info/post/gmamisc/,GmAMisc,"A collection of functions that built in different points in time. The functions' aim spans from univariate outlier detection, to permutation t test, permutation chi-square test, calculation of brainerd-robinson similarity coefficient, validation of logistic regression models, point pattern analysis, and more.",Packages and libraries,R,language,Bits and bobs,gianmarcoalberti,https://github.com/gianmarcoalberti/GmAMisc,GitHub,,,,,,,,,https://archive.org/details/github.com-gianmarcoalberti-GmAMisc_-_2018-07-10_14-35-11,
119b60,qgis-scripts,https://open-archaeo.info/post/qgis-scripts/,QGIS-scripts,Some scripts that could be useful for qgis users.,Packages and libraries,QGIS,host application,Bits and bobs,zoran-cuckovic,https://github.com/zoran-cuckovic/QGIS-scripts,GitHub,,,,,,,,,https://archive.org/details/github.com-zoran-cuckovic-QGIS-scripts_-_2018-07-21_22-11-13,
9fc18d,sériation-de-matrice-en-présence-absence,https://open-archaeo.info/post/s%C3%A9riation-de-matrice-en-pr%C3%A9sence-absence/,Sériation de matrice en présence/absence,Excel file containing macro commands making it possible to transform a 1/0 table (presence / absence) into a graphic matrix treated by matrix permutations; it is possible to take into account the uncertain presence of a character. The instructions for use are contained in the file.,Scripts,Microsoft Excel,host application,Bits and bobs|Seriation,Bruno Desachy,,,,,,,https://abp.hypotheses.org/le-programme-bassin-parisien/les-projets/les-projets-associes-au-programme/outils-danalyse-graphique-des-donnees,,,,,
d1a2b8,calibrator,https://open-archaeo.info/post/calibrator/,calibrator,Small command line tool for 14c calibration.,Standalone software,,,"Radiocarbon dating, calibration and sequencing",ISAAKiel,https://github.com/ISAAKiel/calibrator,GitHub,,,,,https://isaakiel.github.io/calibrator/,,,,https://archive.org/details/github.com-ISAAKiel-calibrator_-_2020-07-08_15-16-12,
f32468,rintchron,https://open-archaeo.info/post/rintchron/,rintchron,"Rintchron provides an r interface to intchron, an indexing service and exchange format for chronological data such as radiocarbon dates.",Packages and libraries,R,language,"Radiocarbon dating, calibration and sequencing|API interfaces and web scrapers",joeroe,https://github.com/joeroe/rintchron,GitHub,,,,,,,,,https://archive.org/details/github.com-joeroe-rintchron_-_2021-01-20_16-36-37,
aa94c0,archeofrag,https://open-archaeo.info/post/archeofrag/,archeofrag,R package for the analysis of the fragmentation of archeological objects.,Packages and libraries,R,language,Spatial analysis|Simulation|Statistical analysis,sebastien-plutniak,https://github.com/sebastien-plutniak/archeofrag,GitHub,https://cran.r-project.org/package=archeofrag,CRAN,,https://doi.org/10.1016/j.jas.2021.105501,https://github.com/sebastien-plutniak/archeofrag,,,,https://archive.org/details/github.com-sebastien-plutniak-archeofrag_-_2020-11-30_13-30-27,
86a287,opencontext,https://open-archaeo.info/post/opencontext/,opencontext,An r api client for the open context archaeological data repository.,Packages and libraries,R,language,API interfaces and web scrapers,ropensci,https://github.com/ropensci/opencontext,GitHub,,,,,https://docs.ropensci.org/opencontext/,,,,https://archive.org/details/github.com-ropensci-opencontext_-_2020-05-13_14-44-02,
51aa23,allen-archaeology,https://open-archaeo.info/post/allen-archaeology/,allen.archaeology,Allen's interval algebra for archaeologists.,Packages and libraries,R,language,Statistical analysis,tsdye,https://github.com/tsdye/allen.archaeology,GitHub,,,,,,,,,https://archive.org/details/github.com-tsdye-allen.archaeology_-_2021-01-08_18-37-11,
